"ID","Peso","Sexo","Estatura","circun_cuello","circun_muneca"
"1",47.6,"F",1.57,29.5,13.9
"2",68.1,"M",1.66,38.4,16
"3",68,"M",1.9,36.5,16.6
"4",80,"M",1.76,38,17.1
"5",68.1,"M",1.83,38,17.1
"6",56.1,"F",1.66,33,14.7
"7",54.2,"F",1.65,32.5,15.4
"8",69.2,"M",1.78,40.5,16.5
"9",74.3,"M",1.68,38,16.1
"10",73.3,"M",1.69,37.5,16.3
"11",102.2,"M",1.79,41.5,17.1
"12",46.7,"F",1.49,31.5,13.8
"13",63.8,"M",1.74,38,16.4
"14",76.9,"M",1.73,39.5,17.6
"15",52.5,"F",1.52,32.5,14.4
"16",67.3,"M",1.76,36.5,16.1
"17",79.1,"M",1.82,38,18
"18",58.4,"F",1.62,33,14.3
"19",59.3,"F",1.68,32,14.2
"20",57.3,"F",1.61,32,14.7
"21",67.6,"F",1.64,34.5,15.3
"22",62.7,"F",1.67,33,15.3
"23",71.9,"M",1.64,38.5,16.8
"24",74.9,"M",1.75,40,16.8
"25",73,"M",1.85,37.2,16.4
"26",63.8,"M",1.71,35,15.6
