"","id_proyecto","nombre_del_proyecto","nombre_ocad","region","departamento","sector_suifp","programa","subprograma","avance_fisico","avance_financiero","estado_detalle","estado_general","anno","valor_sgr","valor_nación","valor_otros","total_proyecto","pctg_sgr"
"1","id_357417","CONSTRUCCIÓN DE PLACA HUELLA EN VÍAS TERCIARIAS DE LOS MUNICIPIOS DEL MAGDALENA MEDIO   ANTIOQUIA","Región Eje Cafetero","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,100,"Cerrado","Terminado",2017,1784417,0,0,1784417,100
"2","id_357587","CONSTRUCCIÓN DE PLACA HUELLA EN VÍAS TERCIARIAS DE LOS MUNICIPIOS DE GUADALUPE, GÓMEZ PLATA Y SAN JOSÉ DE LA MONTAÑA DEL DEPARTAMENTO DE  ANTIOQUIA","Región Eje Cafetero","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,100,"Cerrado","Terminado",2017,756224,0,0,756224,100
"3","id_701595","MEJORAMIENTO DE VÍAS TERCIARIAS EN LOS MUNICIPIOS DE COCORNÁ, GRANADA, SAN CARLOS Y SAN LUIS, DEPARTAMENTO DE  ANTIOQUIA","Región Eje Cafetero","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,99.95,"Cerrado","Terminado",2018,1605476,0,333,1605809,100
"4","id_274786","MEJORAMIENTO Y OPTIMIZACIÓN DE VIAS TERCIARIAS MEDIANTE LA ADQUISICION DE UN RETROCARGADOR EN EL MUNICIPIO DE ARBOLETES ANTIOQUIA","Antioquia - Arboletes","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,99.99,"Cerrado","Terminado",2016,210743,0,0,210743,100
"5","id_592358","ESTUDIOS Y DISEÑOS PARA EL MEJORAMIENTO  DE LA RED VIAL TERCIARIA DEL MUNICIPIO DE  CARACOLÍ","Caracoli","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,100,"Cerrado","Terminado",2018,31667,0,0,31667,100
"6","id_1062076","ELABORACIÓN DE ESTUDIOS Y DISEÑOS DE LA VÍA DE ACCESO A LA PLACA POLIDEPORTIVA DE LA VEREDA CAMPO ALEGRE DEL MUNICIPIO DE   CISNEROS","Antioquia - Cisneros","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,90,"Cerrado","Terminado",2020,7667,0,0,7667,100
"7","id_706853","MEJORAMIENTO DE VÍAS TERCIARIAS MEDIANTE EL USO DE PLACA HUELLA EN EL MUNICIPIO DE  CONCORDIA, ANTIOQUIA","Antioquia - Concordia","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,92.23,"Cerrado","Terminado",2018,812913,0,0,812913,100
"8","id_529385","MEJORAMIENTO DE VÍA TERCIARIA EN EL MUNICIPIO DE  HELICONIA, ANTIOQUIA","Antioquia - Heliconia","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,99.49,"Cerrado","Terminado",2018,166667,0,0,166667,100
"9","id_302535","MEJORAMIENTO DE VÍAS TERCIARIAS MEDIANTE EL USO DE PLACA HUELLA EN EL MUNICIPIO DE HISPANIA, DEPARTAMENTO DE  ANTIOQUIA","Antioquia - Hispania","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",100,100,"Cerrado","Terminado",2017,176030,0,0,176030,100
"10","id_787760","CONSTRUCCIÓN DE UN TRAMO DE PAVIMENTO RÍGIDO EN EL ACCESO DE LA VÍA PALMICHAL - PUERTO RICO, Y RECUPERACIÓN DE LA TRANSITABILIDAD EN LA VÍA LA TUPIADA - BETULIA DEL MUNICIPIO DE  SAN CARLOS, ANTIOQUIA","Antioquia - San Carlos","Eje Cafetero","Antioquia","Transporte","Infraestructura Red Vial Regional","Red Vial Terciaria",99.87,99.96,"Cerrado","Terminado",2019,133315,0,0,133315,100
